"abbr_name","League","club_name"
"AAC","German Bundesliga","Aachen"
"ADO","Dutch Eredivisie","Ado Den Haag"
"AJC","French Ligue 1","AC Ajaccio"
"ALB","Spanish La Liga",
"AMI","French Ligue 1","Amiens"
"Ancona","Italian Serie A","Ancona"
"ASC","Italian Serie A","Ascoli"
"ASNL","French Ligue 1","AS Nancy Lorraine"
"ASSE","French Ligue 1","AS Saint-Étienne"
"ATA","Italian Serie A","Atalanta"
"ATH","Spanish La Liga","Athletic Club"
"AUX","French Ligue 1","AJ Auxerre"
"AVL","English Premier League","Aston Villa"
"AZ","Dutch Eredivisie","AZ Alkmaar"
"BEN","Italian Serie A","Benevento"
"BHA","English Premier League","Brighton & Hove Albion"
"BIR","English Premier League","Birmingham City"
"BLP","English Premier League","Blackpool"
"BRES","French Ligue 1","Stade Brestois 29"
"CAD","Spanish La Liga","Cadiz"
"CAN","French Ligue 1",
"CAR","English Premier League","Cardiff City"
"CAR","Italian Serie A","Carpi"
"CAT","Italian Serie A","Catania"
"CES","Italian Serie A","Cesena"
"CLER","French Ligue 1","Clermont Foot 63"
"COMO","Italian Serie A","Como"
"COR","Spanish La Liga","Deportivo La Coruña"
"COT","German Bundesliga",
"CRO","Italian Serie A","Crotone"
"CVO","Italian Serie A",
"DBO","Dutch Eredivisie","Den Bosch"
"DER","English Premier League","Derby County"
"DIJO","French Ligue 1","Dijon FCO"
"DRM","German Bundesliga","SV Darmstadt 98"
"DSC","German Bundesliga","Deutscher Sportclub Arminia Bielefeld"
"DUI","German Bundesliga",
"EAG","French Ligue 1","En Avant de Guingamp"
"EBS","German Bundesliga","Eintracht Braunschweig"
"EIB","Spanish La Liga","SD Eibar"
"EMM","Dutch Eredivisie",
"ESP","Spanish La Liga","RCD Espanyol"
"EVN","French Ligue 1","Evian Thonon Gaillard"
"EXC","Dutch Eredivisie","Excelsior"
"FCK","German Bundesliga","1. FC Kaiserslautern"
"FREI","German Bundesliga","SC Freiburg"
"FRO","Italian Serie A","Frosinone"
"FUR","German Bundesliga","SpVgg Greuther Fürth"
"GFC","French Ligue 1","GFC Ajaccio"
"GIR","Spanish La Liga","Girona FC"
"GRE","French Ligue 1","Grenoble"
"HER","Dutch Eredivisie","Heracles Almelo "
"HER","Spanish La Liga",
"HERT","German Bundesliga","Hertha BSC"
"HOF","German Bundesliga","TSG 1899 Hoffenheim"
"HUD","English Premier League","Huddersfield Town"
"HUE","Spanish La Liga","Huesca"
"ING","German Bundesliga","FC Ingolstadt 04"
"LEC","Italian Serie A","Lecce"
"LEG","Spanish La Liga","CD Leganés"
"LEV","German Bundesliga","Bayer 04 Leverkusen"
"LEV","Spanish La Liga","Levante UD"
"LILL","French Ligue 1","LOSC Lille"
"LPA","Spanish La Liga","UD Las Palmas"
"LVO","Italian Serie A","Livorno"
"LYON","French Ligue 1","Olympique Lyonnais"
"MAIN","German Bundesliga","1. FSV Mainz 05"
"MAN","English Premier League",
"MAR","French Ligue 1","Olympique de Marseille"
"MCF","Spanish La Liga","Málaga CF"
"Messina","Italian Serie A","Messina"
"METZ","French Ligue 1","FC Metz"
"MNC","English Premier League",
"MNS","French Ligue 1","Le Mans"
"MOD","Italian Serie A","Modena"
"MONT","French Ligue 1","Montpellier HSC"
"NAC","Dutch Eredivisie","NAC Breda"
"NANT","French Ligue 1","FC Nantes"
"NICE","French Ligue 1","OGC Nice"
"NIM","French Ligue 1","Nimes"
"NOV","Italian Serie A","Novara"
"NUM","Spanish La Liga","CD Numancia"
"OVI","Spanish La Liga","Real Oviedo"
"PAD","German Bundesliga","SC Paderborn 07 "
"PAR","Italian Serie A","Parma"
"PER","Italian Serie A","Perugia"
"PES","Italian Serie A","Pescara"
"PIA","Italian Serie A","Piacenza"
"RCL","French Ligue 1","Racing Club de Lens"
"REA","English Premier League",
"REG","Italian Serie A","Reggina"
"REIM","French Ligue 1","Stade de Reims"
"RJC","Dutch Eredivisie","Roda JC"
"RKC","Dutch Eredivisie","RKC Waalwijk"
"ROMA","Italian Serie A","AS Roma"
"Roosendaal","Dutch Eredivisie","Roosendaal"
"RSG","Spanish La Liga","Real Sporting Gijón"
"RSO","Spanish La Liga","Real Sociedad"
"SCHA","German Bundesliga","FC Schalke 04"
"SED","French Ligue 1","Sedan"
"SNA","Italian Serie A","Siena"
"SPA","Dutch Eredivisie","Sparta Rotterdam"
"SPAL","Italian Serie A","SPAL"
"SPE","Italian Serie A","Spezia"
"STP","German Bundesliga","FC St. Pauli"
"STRA","French Ligue 1","Strasbourg"
"TEN","Spanish La Liga",
"TOUL","French Ligue 1","Toulouse Football Club"
"Treviso","Italian Serie A","Treviso"
"TRY","French Ligue 1","Troyes"
"UDN","Italian Serie A","Udinese"
"Unterhaching","German Bundesliga","Unterhaching"
"VAFC","French Ligue 1","Valenciennes FC"
"VALL","Spanish La Liga","Real Valladolid FC"
"Venezia","Italian Serie A","Venezia"
"VEN","Italian Serie A","Venezia"
"VER","Italian Serie A","Verona"
"VFB","German Bundesliga","VfB Stuttgart"
"VIC","Italian Serie A","Vicenza"
"VOL","Dutch Eredivisie",
"VVV","Dutch Eredivisie","VVV Venlo"
"WER","German Bundesliga","SV Werder Bremen"
"WGA","English Premier League","Wigan Athletic"
"XER","Spanish La Liga",
"ZAR","Spanish La Liga","Real Zaragoza"
